,Lst,Rto,Sce,Yli,s2,s3,s4
Lst|G1IA6-20663-MONOMER,Lipst1_1_3975,8651,YHR025W,YALI0F13453g,1.264,1.801,1.588
Lst|G1IA6-20762-MONOMER,Lipst1_1_63905,12846,YDR040C,YALI0A01023g,1.944,1.801,1.588
Lst|G1IA6-21055-MONOMER,Lipst1_1_315151,11522,YAL025C,YALI0C08052g,0.979,1.018,0.873
Lst|G1IA6-18194-MONOMER,Lipst1_1_232228,14153,YPL204W,YALI0F08305g,1.944,1.666,1.588
Lst|G1IA6-22419-MONOMER,Lipst1_1_5448,9387,YGL143C,YALI0E22759g,0.844,1.223,0.999
Lst|G1IA6-23389-MONOMER,Lipst1_1_44702,15466,,,0.564,,
Lst|G1IA6-17457-MONOMER,Lipst1_1_212503,15474,YDR392W,YALI0E21417g,0.594,1.127,1.137
Lst|G1IA6-16949-MONOMER,Lipst1_1_67071,9503,YPL003W,YALI0F27863g,1.294,0.323,0.969
Lst|G1IA6-17006-MONOMER,Lipst1_1_67294,15470,YFL054C,YALI0E05665g,0.443,0.389,0.677
Lst|G1IA6-21047-MONOMER,Lipst1_1_314464,12042,YPL061W,YALI0C03025g,1.944,1.801,1.588
Lst|G1IA6-22109-MONOMER,Lipst1_1_55968,15155,YKL138C,YALI0E01914g,0.359,0.343,0.161
Lst|G1IA6-20518-MONOMER,Lipst1_1_296922,11811,YGR232W,YALI0C01221g,0.248,0.302,0.285
Lst|G1IA6-21695-MONOMER,Lipst1_1_55691,14752,YNL016W,YALI0C07040g,1.264,0.733,0.607
Lst|G1IA6-17712-MONOMER,Lipst1_1_68186,16475,YJR103W,YALI0B05368g,1.944,1.801,1.588
Lst|G1IA6-20933-MONOMER,Lipst1_1_83710,10573,YBR089C-A,YALI0C11671g,0.355,0.366,0.348
Lst|G1IA6-16897-MONOMER,Lipst1_1_637,,,YALI0C05797g,,,0.11
Lst|G1IA6-19663-MONOMER,Lipst1_1_62977,16687,YBR290W,YALI0F26301g,0.518,0.389,0.463
Lst|G1IA6-16850-MONOMER,Lipst1_1_587,10627,YHR147C,YALI0F10032g,0.432,0.578,0.465
Lst|G1IA6-16500-MONOMER,Lipst1_1_126229,14972,YDL084W,YALI0A11157g,1.944,1.801,1.588
Lst|G1IA6-23203-MONOMER,Lipst1_1_65790,15659,YLR045C,YALI0E28371g,1.032,0.699,1.425
Lst|G1IA6-16491-MONOMER,Lipst1_1_124086,8917,YGL173C,YALI0C23144g,0.793,0.597,0.576
Lst|G1IA6-22948-MONOMER,Lipst1_1_74845,16005,YKR035W-A,YALI0C10098g,0.862,0.663,0.835
Lst|G1IA6-18120-MONOMER,Lipst1_1_1909,11926,YDL031W,YALI0D24497g,1.822,1.801,1.588
Lst|G1IA6-23502-MONOMER,Lipst1_1_75335,13385,YPR118W,YALI0A16698g,0.916,0.989,1.31
Lst|G1IA6-18329-MONOMER,Lipst1_1_49468,14522,YER075C,YALI0F24585g,0.64,0.371,0.919
Lst|G1IA6-17956-MONOMER,Lipst1_1_102852,14475,YDR301W,YALI0E03982g,0.93,1.221,1.588
Lst|G1IA6-18039-MONOMER,Lipst1_1_1586,14803,YOR241W,YALI0E24497g,1.3,1.714,1.588
Lst|G1IA6-19088-MONOMER,Lipst1_1_69708,12065,YBL016W,YALI0E23496g,1.944,1.59,1.588
Lst|G1IA6-17770-MONOMER,Lipst1_1_68436,9115,YPR103W,YALI0B15224g,1.32,1.629,1.417
Lst|G1IA6-23981-MONOMER,Lipst1_1_7004,15706,,,1.438,,
Lst|G1IA6-17076-MONOMER,Lipst1_1_67573,,YNL066W,YALI0E33539g,,1.376,1.054
Lst|G1IA6-17609-MONOMER,Lipst1_1_48910,15238,YCR092C,YALI0A09724g,1.944,1.478,1.545
Lst|G1IA6-20097-MONOMER,Lipst1_1_3367,8577,YGL094C,YALI0E29403g,1.944,1.677,1.588
Lst|G1IA6-18625-MONOMER,Lipst1_1_103771,10737,YPL081W,YALI0F05544g,1.091,1.034,0.904
Lst|G1IA6-23264-MONOMER,Lipst1_1_75215,13496,YNL223W,YALI0A13277g,0.666,0.638,0.699
Lst|G1IA6-17733-MONOMER,Lipst1_1_68282,8886,YDL054C,YALI0A16060g,0.424,0.464,0.477
Lst|G1IA6-16853-MONOMER,Lipst1_1_594,16182,YEL046C,YALI0A21417g,1.174,1.265,1.11
Lst|G1IA6-17678-MONOMER,Lipst1_1_67990,11253,,,1.156,,
Lst|G1IA6-18201-MONOMER,Lipst1_1_233762,11656,YDR211W,YALI0B15708g,0.768,1.801,1.588
Lst|G1IA6-18899-MONOMER,Lipst1_1_258919,10331,YFR047C,YALI0E07073g,1.179,1.384,1.273
Lst|G1IA6-23876-MONOMER,Lipst1_1_194761,11408,YDR129C,YALI0B17622g,1.944,1.801,1.588
Lst|G1IA6-22352-MONOMER,Lipst1_1_160987,10003,YDR293C,YALI0F13717g,1.944,1.801,1.588
Lst|G1IA6-23531-MONOMER,Lipst1_1_75469,,YBR014C,YALI0F28127g,,0.246,0.264
Lst|G1IA6-20881-MONOMER,Lipst1_1_72255,10811,,YALI0D04268g,1.237,,1.185
Lst|G1IA6-17893-MONOMER,Lipst1_1_90777,14653,,YALI0B16698g,0.717,,0.811
Lst|G1IA6-16608-MONOMER,Lipst1_1_143457,10199,YOR289W,YALI0E20141g,0.368,0.274,0.353
Lst|G1IA6-19739-MONOMER,Lipst1_1_70615,13756,YDR237W,YALI0B01892g,0.301,0.883,0.681
Lst|G1IA6-17003-MONOMER,Lipst1_1_67275,9437,YMR076C,YALI0E12969g,1.604,1.671,0.987
Lst|G1IA6-17970-MONOMER,Lipst1_1_102936,9622,YOR332W,YALI0F15631g,0.709,0.579,0.605
Lst|G1IA6-22075-MONOMER,Lipst1_1_5292,16203,YPL117C,YALI0F04015g,0.799,0.93,0.934
Lst|G1IA6-20445-MONOMER,Lipst1_1_105290,13137,YPL097W,YALI0E29139g,1.043,1.072,0.755
Lst|G1IA6-19648-MONOMER,Lipst1_1_62757,,,YALI0D10483g,,,0.201
Lst|G1IA6-17499-MONOMER,Lipst1_1_221062,12524,YGL195W,YALI0D17732g,1.944,1.801,1.588
Lst|G1IA6-23468-MONOMER,Lipst1_1_6576,11777,,YALI0A11473g,1.944,,1.588
Lst|G1IA6-19763-MONOMER,Lipst1_1_70725,9906,YMR218C,YALI0B22726g,0.941,0.317,1.311
Lst|G1IA6-23104-MONOMER,Lipst1_1_57839,11395,YIL105C,YALI0D08536g,0.725,1.027,0.844
Lst|G1IA6-21803-MONOMER,Lipst1_1_73388,15877,YOL069W,YALI0E31867g,0.075,0.395,0.383
Lst|G1IA6-17219-MONOMER,Lipst1_1_92,9363,YOL075C,YALI0D25828g,1.944,1.801,1.588
Lst|G1IA6-19532-MONOMER,Lipst1_1_3056,14096,YOR196C,YALI0E10571g,1.622,1.723,1.566
Lst|G1IA6-20507-MONOMER,Lipst1_1_294826,,YHR124W,,,0.108,
Lst|G1IA6-19189-MONOMER,Lipst1_1_70181,12387,YBR192W,YALI0F05500g,0.735,1.168,1.272
Lst|G1IA6-17308-MONOMER,Lipst1_1_1145,14718,YDL205C,YALI0F26609g,0.925,1.043,1.005
Lst|G1IA6-19573-MONOMER,Lipst1_1_3182,11777,,YALI0A11473g,1.944,,1.588
Lst|G1IA6-17758-MONOMER,Lipst1_1_68377,13139,YOR018W,YALI0D12969g,0.318,0.849,1.193
Lst|G1IA6-19436-MONOMER,Lipst1_1_276115,13555,,YALI0D10043g,1.159,,1.588
Lst|G1IA6-22024-MONOMER,Lipst1_1_5128,14914,YGL009C,YALI0B01364g,1.944,1.801,1.588
Lst|G1IA6-22604-MONOMER,Lipst1_1_74428,,,YALI0A15257g,,,0.223
Lst|G1IA6-22207-MONOMER,Lipst1_1_73864,11977,YLL041C,YALI0D23397g,1.405,1.489,1.326
Lst|G1IA6-17486-MONOMER,Lipst1_1_217403,8997,YGL212W,YALI0C16412g,0.339,0.163,0.269
Lst|G1IA6-19004-MONOMER,Lipst1_1_51306,13774,YMR315W,YALI0D10659g,0.326,1.001,0.734
Lst|G1IA6-19419-MONOMER,Lipst1_1_274025,,YCR081W,YALI0F11341g,,0.363,0.603
Lst|G1IA6-23515-MONOMER,Lipst1_1_75404,9557,YBR109C,YALI0E34111g,0.799,0.565,0.816
Lst|G1IA6-18129-MONOMER,Lipst1_1_1941,10382,,,0.744,,
Lst|G1IA6-22937-MONOMER,Lipst1_1_74798,,YJR085C,YALI0F22429g,,0.262,0.106
Lst|G1IA6-17128-MONOMER,Lipst1_1_67775,,,YALI0E28270g,,,1.15
Lst|G1IA6-21116-MONOMER,Lipst1_1_35303,14282,,,0.171,,
Lst|G1IA6-19634-MONOMER,Lipst1_1_52248,14899,YNL272C,YALI0F27379g,0.104,0.131,0.094
Lst|G1IA6-21635-MONOMER,Lipst1_1_4875,9643,,,0.386,,
Lst|G1IA6-23533-MONOMER,Lipst1_1_75472,14059,YPR176C,YALI0E28248g,1.32,1.235,1.103
Lst|G1IA6-17135-MONOMER,Lipst1_1_67791,16777,,YALI0A10296g,1.944,,1.588
Lst|G1IA6-19750-MONOMER,Lipst1_1_70678,14754,,,0.236,,
Lst|G1IA6-22967-MONOMER,Lipst1_1_74921,16793,YFR031C,YALI0F24783g,1.944,1.801,1.588
Lst|G1IA6-21751-MONOMER,Lipst1_1_73201,,,YALI0B01320g,,,0.239
Lst|G1IA6-18316-MONOMER,Lipst1_1_41660,,YJR034W,YALI0C16731g,,0.354,0.29
Lst|G1IA6-20942-MONOMER,Lipst1_1_95595,,,YALI0D10021g,,,0.596
Lst|G1IA6-22687-MONOMER,Lipst1_1_167113,,YJR088C,YALI0C23188g,,0.201,0.468
Lst|G1IA6-20671-MONOMER,Lipst1_1_4014,,YHR187W,YALI0B09295g,,0.332,0.273
Lst|G1IA6-18357-MONOMER,Lipst1_1_61594,,YIL120W,YALI0F03751g,,0.706,0.761
Lst|G1IA6-18715-MONOMER,Lipst1_1_2223,10079,YHR091C,YALI0E17985g,1.944,1.801,1.588
Lst|G1IA6-23060-MONOMER,Lipst1_1_176983,10962,YOR275C,YALI0D20130g,1.108,0.716,1.484
Lst|G1IA6-18514-MONOMER,Lipst1_1_69319,12239,YLR097C,YALI0E32439g,0.312,0.447,0.249
Lst|G1IA6-22847-MONOMER,Lipst1_1_6067,8759,YGL184C,YALI0D00605g,1.741,1.272,1.588
Lst|G1IA6-19522-MONOMER,Lipst1_1_3010,9240,YHR072W,YALI0F04378g,1.944,1.801,1.588
Lst|G1IA6-18883-MONOMER,Lipst1_1_2569,15612,,YALI0C22572g,0.329,,0.469
Lst|G1IA6-19167-MONOMER,Lipst1_1_70047,14554,YNL169C,YALI0D21604g,1.389,1.218,1.422
Lst|G1IA6-16507-MONOMER,Lipst1_1_127634,11391,YHL003C,YALI0F06424g,0.714,1.268,1.46
Lst|G1IA6-19174-MONOMER,Lipst1_1_70086,8932,YJR131W,YALI0D17424g,1.618,1.484,1.588
Lst|G1IA6-21340-MONOMER,Lipst1_1_72601,11653,,YALI0F16203g,0.134,,0.453
Lst|G1IA6-16870-MONOMER,Lipst1_1_60480,,YGR165W,YALI0A13541g,,0.293,0.274
Lst|G1IA6-18660-MONOMER,Lipst1_1_116846,12138,YNL288W,YALI0F03344g,1.659,1.227,1.329
Lst|G1IA6-22173-MONOMER,Lipst1_1_73717,16454,,,1.537,,
Lst|G1IA6-24140-MONOMER,Lipst1_1_66567,8391,YIL018W,YALI0F24739g,1.469,1.579,1.378
Lst|G1IA6-16726-MONOMER,Lipst1_1_382,,,YALI0C11033g,,,0.466
Lst|G1IA6-18867-MONOMER,Lipst1_1_254773,8924,YIR042C,YALI0B01716g,0.106,0.601,0.456
Lst|G1IA6-22813-MONOMER,Lipst1_1_5954,,,YALI0C16181g,,,0.36
Lst|G1IA6-21620-MONOMER,Lipst1_1_4809,15409,YDL124W,YALI0B15268g,0.565,0.762,0.619
Lst|G1IA6-16679-MONOMER,Lipst1_1_282,10497,YGL157W,YALI0D08844g,0.859,0.719,0.741
Lst|G1IA6-21613-MONOMER,Lipst1_1_4780,14615,YDL100C,YALI0E33495g,1.629,1.064,1.419
Lst|G1IA6-18702-MONOMER,Lipst1_1_2180,,YLR178C,YALI0B03366g,,0.279,0.305
Lst|G1IA6-23035-MONOMER,Lipst1_1_174226,,,YALI0F24409g,,,0.195
Lst|G1IA6-18237-MONOMER,Lipst1_1_238934,16564,YKL211C,YALI0D11110g,1.803,1.801,1.588
Lst|G1IA6-19007-MONOMER,Lipst1_1_51431,12038,YOR216C,YALI0B18634g,0.528,0.356,0.411
Lst|G1IA6-19670-MONOMER,Lipst1_1_63078,,YPR063C,YALI0B21362g,,0.165,0.236
Lst|G1IA6-20885-MONOMER,Lipst1_1_72277,,YOR118W,YALI0C22341g,,0.427,0.406
Lst|G1IA6-16555-MONOMER,Lipst1_1_135144,12498,YMR285C,YALI0C08657g,0.352,0.848,0.69
Lst|G1IA6-20742-MONOMER,Lipst1_1_53802,,,YALI0F19910g,,,0.925
Lst|G1IA6-19211-MONOMER,Lipst1_1_70268,11940,YDR448W,YALI0F14443g,1.267,1.643,1.588
Lst|G1IA6-22985-MONOMER,Lipst1_1_98955,14843,YJL104W,YALI0F03047g,0.117,0.352,0.243
Lst|G1IA6-18372-MONOMER,Lipst1_1_61866,10321,YDR170C,YALI0D23463g,1.944,1.801,1.588
Lst|G1IA6-18001-MONOMER,Lipst1_1_109828,15355,YGR266W,YALI0E10549g,0.699,0.643,0.558
Lst|G1IA6-18618-MONOMER,Lipst1_1_103657,16610,YGR038W,YALI0B18150g,0.638,0.716,0.878
Lst|G1IA6-21194-MONOMER,Lipst1_1_4458,10522,,YALI0D05313g,0.521,,0.378
Lst|G1IA6-16711-MONOMER,Lipst1_1_342,11105,,YALI0C12386g,0.229,,0.73
Lst|G1IA6-16808-MONOMER,Lipst1_1_47671,9000,YCR068W,YALI0F06358g,1.001,1.329,1.378
Lst|G1IA6-23924-MONOMER,Lipst1_1_41522,12144,YNL116W,YALI0F18634g,0.7,0.883,0.826
Lst|G1IA6-16699-MONOMER,Lipst1_1_332244,12434,YGL067W,YALI0F08283g,0.715,0.591,0.937
Lst|G1IA6-20880-MONOMER,Lipst1_1_72253,12792,YGL084C,YALI0E30283g,1.749,1.801,1.588
Lst|G1IA6-19510-MONOMER,Lipst1_1_2970,,YOR025W,YALI0D02145g,,0.896,0.591
Lst|G1IA6-18437-MONOMER,Lipst1_1_68997,11939,YOL142W,YALI0E33121g,0.247,0.376,0.399
Lst|G1IA6-21398-MONOMER,Lipst1_1_72896,14586,YOR232W,YALI0C18513g,0.441,0.713,0.577
Lst|G1IA6-16833-MONOMER,Lipst1_1_516,,YKL155C,YALI0D16929g,,0.684,0.526
Lst|G1IA6-20664-MONOMER,Lipst1_1_3978,14160,YOL094C,YALI0F07337g,1.649,1.66,1.461
Lst|G1IA6-22469-MONOMER,Lipst1_1_5646,,YDL207W,,,0.82,
Lst|G1IA6-21207-MONOMER,Lipst1_1_4490,9495,YBR115C,YALI0E06457g,1.944,1.801,1.588
Lst|G1IA6-20080-MONOMER,Lipst1_1_3320,12116,YDR148C,YALI0E16929g,1.619,1.596,1.444
Lst|G1IA6-19093-MONOMER,Lipst1_1_69741,16396,YAL043C,YALI0F03883g,0.362,0.381,0.79
Lst|G1IA6-17917-MONOMER,Lipst1_1_934,10841,YKR097W,YALI0C16995g,1.944,1.801,1.588
Lst|G1IA6-18088-MONOMER,Lipst1_1_1788,10941,YOR002W,YALI0D17028g,0.803,1.674,1.588
Lst|G1IA6-16610-MONOMER,Lipst1_1_143787,11155,YNL297C,YALI0B22858g,1.518,1.09,1.153
Lst|G1IA6-21286-MONOMER,Lipst1_1_55185,12581,YNL036W,YALI0F21406g,0.319,0.396,0.775
Lst|G1IA6-22691-MONOMER,Lipst1_1_167651,8409,YGR274C,YALI0F32153g,1.565,1.617,1.588
Lst|G1IA6-19869-MONOMER,Lipst1_1_104603,13689,YOL010W,YALI0A05555g,1.102,1.36,1.472
Lst|G1IA6-18378-MONOMER,Lipst1_1_62006,15456,YNL312W,YALI0F03993g,0.375,0.229,0.178
Lst|G1IA6-17447-MONOMER,Lipst1_1_211342,,YLL002W,YALI0F16313g,,0.32,0.408
Lst|G1IA6-21508-MONOMER,Lipst1_1_325497,,YPR194C,YALI0A03949g,,1.801,1.588
Lst|G1IA6-19246-MONOMER,Lipst1_1_81294,12128,,YALI0E14014g,1.099,,0.81
Lst|G1IA6-20865-MONOMER,Lipst1_1_72192,,YML065W,YALI0D10104g,,0.773,1.2
Lst|G1IA6-23448-MONOMER,Lipst1_1_6487,15239,YDR027C,YALI0B16822g,0.311,0.476,0.541
Lst|G1IA6-17044-MONOMER,Lipst1_1_67449,13007,YGL191W,YALI0F03201g,0.079,0.232,0.222
Lst|G1IA6-19540-MONOMER,Lipst1_1_3088,16077,YLR330W,YALI0E16170g,0.885,0.905,0.87
Lst|G1IA6-18700-MONOMER,Lipst1_1_2175,,YDR322C-A,YALI0F10615g,,0.089,0.239
Lst|G1IA6-19764-MONOMER,Lipst1_1_70729,13350,YLR151C,YALI0F26037g,0.218,0.229,0.364
Lst|G1IA6-19773-MONOMER,Lipst1_1_70762,11463,YJR130C,YALI0D17402g,1.659,1.467,1.588
Lst|G1IA6-20162-MONOMER,Lipst1_1_3579,12544,YPL225W,YALI0B04114g,0.41,0.538,0.49
Lst|G1IA6-20190-MONOMER,Lipst1_1_3698,11420,,,1.944,,
Lst|G1IA6-21238-MONOMER,Lipst1_1_46036,9130,YDL051W,YALI0E18854g,0.229,0.378,0.466
Lst|G1IA6-22043-MONOMER,Lipst1_1_5193,9970,YDL146W,YALI0C22462g,0.537,0.339,0.836
Lst|G1IA6-20245-MONOMER,Lipst1_1_63541,15803,YLR008C,YALI0B12958g,0.25,0.338,0.242
Lst|G1IA6-19000-MONOMER,Lipst1_1_51228,16726,YIL041W,YALI0B21120g,0.499,0.432,1.088
Lst|G1IA6-18582-MONOMER,Lipst1_1_79870,10732,YFR051C,YALI0E32542g,1.23,1.047,1.435
Lst|G1IA6-17356-MONOMER,Lipst1_1_1288,,,YALI0E32494g,,,0.13
Lst|G1IA6-21680-MONOMER,Lipst1_1_55276,12160,YBR237W,YALI0C05368g,1.944,1.535,1.588
Lst|G1IA6-23237-MONOMER,Lipst1_1_75048,,,YALI0C01155g,,,0.636
Lst|G1IA6-19623-MONOMER,Lipst1_1_52009,16072,YDL017W,YALI0F23287g,0.836,0.842,0.863
Lst|G1IA6-19286-MONOMER,Lipst1_1_104474,9181,YGR263C,,0.147,0.089,
Lst|G1IA6-21226-MONOMER,Lipst1_1_4563,12953,,YALI0F16093g,0.276,,0.997
Lst|G1IA6-21501-MONOMER,Lipst1_1_32417,,YLR435W,YALI0E15466g,,0.333,0.337
Lst|G1IA6-17322-MONOMER,Lipst1_1_115694,,YKL020C,YALI0A05577g,,0.805,0.956
Lst|G1IA6-18973-MONOMER,Lipst1_1_50667,12619,YDL219W,YALI0D25718g,0.426,0.386,0.404
Lst|G1IA6-19083-MONOMER,Lipst1_1_69689,11383,,YALI0D23243g,0.215,,0.341
Lst|G1IA6-21619-MONOMER,Lipst1_1_4808,14445,YNL245C,YALI0F13057g,0.465,0.138,0.296
Lst|G1IA6-23841-MONOMER,Lipst1_1_87988,16264,YJL121C,YALI0C11880g,0.835,0.933,0.783
Lst|G1IA6-20372-MONOMER,Lipst1_1_71658,13249,YLR060W,YALI0E22979g,1.944,1.801,1.588
Lst|G1IA6-22497-MONOMER,Lipst1_1_57044,13758,YOR117W,YALI0D09119g,1.944,1.801,1.588
Lst|G1IA6-19168-MONOMER,Lipst1_1_70051,12979,,,0.797,,
Lst|G1IA6-19031-MONOMER,Lipst1_1_62421,13720,YER059W,YALI0C05126g,0.538,0.602,0.76
Lst|G1IA6-21667-MONOMER,Lipst1_1_4996,,,YALI0F26191g,,,1.588
Lst|G1IA6-22837-MONOMER,Lipst1_1_6033,,YLL028W,YALI0F07062g,,1.649,1.588
Lst|G1IA6-20992-MONOMER,Lipst1_1_118396,11598,,YALI0F18656g,0.093,,0.619
Lst|G1IA6-21121-MONOMER,Lipst1_1_40171,,YJR080C,YALI0E03784g,,0.101,0.559
Lst|G1IA6-21794-MONOMER,Lipst1_1_73351,13900,YJR069C,YALI0B22924g,0.718,0.515,0.602
Lst|G1IA6-17188-MONOMER,Lipst1_1_77562,11220,YNL221C,YALI0E29007g,0.458,0.728,0.774
Lst|G1IA6-24022-MONOMER,Lipst1_1_76061,9537,YKL215C,YALI0E02398g,1.944,1.801,1.588
Lst|G1IA6-16787-MONOMER,Lipst1_1_47072,10395,YCR027C,YALI0E30943g,0.84,0.51,0.798
Lst|G1IA6-16768-MONOMER,Lipst1_1_46787,16322,YHR028C,YALI0B02838g,1.522,1.801,1.588
Lst|G1IA6-19103-MONOMER,Lipst1_1_69780,13551,YJL189W,YALI0D05697g,0.17,0.137,0.147
Lst|G1IA6-20848-MONOMER,Lipst1_1_72137,12031,,YALI0F14047g,1.876,,1.588
Lst|G1IA6-16550-MONOMER,Lipst1_1_134147,16601,YNR032C-A,YALI0A02871g,0.295,0.281,0.306
Lst|G1IA6-19610-MONOMER,Lipst1_1_43397,,YFR027W,YALI0E12023g,,0.101,0.096
Lst|G1IA6-24157-MONOMER,Lipst1_1_7123,15150,YML034W,YALI0E11539g,0.419,0.412,0.323
Lst|G1IA6-19539-MONOMER,Lipst1_1_3083,,YKL206C,YALI0E21648g,,0.071,0.271
Lst|G1IA6-17346-MONOMER,Lipst1_1_1231,14875,YNL064C,YALI0F00880g,1.337,1.44,1.264
Lst|G1IA6-19456-MONOMER,Lipst1_1_2772,14109,YDL168W,YALI0F09603g,1.944,1.801,1.588
Lst|G1IA6-23031-MONOMER,Lipst1_1_173995,,YLR167W,YALI0F09790g,,0.751,0.698
Lst|G1IA6-18651-MONOMER,Lipst1_1_116487,11524,YPR178W,YALI0E28226g,1.606,0.868,0.963
Lst|G1IA6-18175-MONOMER,Lipst1_1_228349,16857,YNL121C,YALI0B10362g,0.764,0.447,0.428
Lst|G1IA6-19109-MONOMER,Lipst1_1_69804,15403,YOL062C,YALI0C12474g,1.944,1.086,1.588
Lst|G1IA6-17424-MONOMER,Lipst1_1_208469,,YDR006C,YALI0D15862g,,0.865,1.008
Lst|G1IA6-22818-MONOMER,Lipst1_1_5972,,,YALI0A18359g,,,0.474
Lst|G1IA6-23560-MONOMER,Lipst1_1_75552,,YLL004W,YALI0F14773g,,0.144,0.572
Lst|G1IA6-17449-MONOMER,Lipst1_1_211414,,YBR147W,YALI0F05060g,,0.472,0.533
Lst|G1IA6-16719-MONOMER,Lipst1_1_358,16451,YAL010C,YALI0D02959g,0.587,0.531,0.782
Lst|G1IA6-17954-MONOMER,Lipst1_1_102808,13235,YPR025C,YALI0A06996g,0.532,0.608,0.556
Lst|G1IA6-17038-MONOMER,Lipst1_1_67428,13702,YDL014W,YALI0C15873g,1.426,1.567,1.39
Lst|G1IA6-18481-MONOMER,Lipst1_1_69147,10718,YNL182C,YALI0D13948g,0.289,0.182,0.445
Lst|G1IA6-20064-MONOMER,Lipst1_1_3268,8760,YPR094W,YALI0C08030g,0.587,0.426,0.486
Lst|G1IA6-16394-MONOMER,Lipst1_1_101453,,YFL014W,YALI0D20526g,,0.197,0.127
Lst|G1IA6-20612-MONOMER,Lipst1_1_3809,15713,YDL171C,YALI0B19998g,1.944,1.801,1.588
Lst|G1IA6-19385-MONOMER,Lipst1_1_270058,16023,YLR025W,YALI0C16027g,0.445,0.456,0.459
Lst|G1IA6-17313-MONOMER,Lipst1_1_115412,10900,YHR100C,YALI0A14157g,0.132,0.471,0.408
Lst|G1IA6-17471-MONOMER,Lipst1_1_215719,14606,,YALI0A01782g,0.174,,0.251
Lst|G1IA6-22053-MONOMER,Lipst1_1_5224,9206,YLR103C,YALI0B06369g,0.913,1.747,1.289
Lst|G1IA6-19550-MONOMER,Lipst1_1_3128,15631,YPR074C,YALI0E06479g,1.944,1.801,1.588
Lst|G1IA6-17233-MONOMER,Lipst1_1_102173,16579,YER117W,YALI0D10263g,0.802,0.837,0.754
Lst|G1IA6-23242-MONOMER,Lipst1_1_75074,14116,YKL086W,YALI0D16709g,0.158,0.279,0.304
Lst|G1IA6-17248-MONOMER,Lipst1_1_102440,16178,YOR187W,YALI0F24387g,1.944,1.801,1.588
Lst|G1IA6-17771-MONOMER,Lipst1_1_68437,10679,YGL124C,YALI0C06347g,0.626,0.626,1.273
Lst|G1IA6-18173-MONOMER,Lipst1_1_228081,14460,YFR028C,YALI0E16038g,0.934,1.738,1.588
Lst|G1IA6-22493-MONOMER,Lipst1_1_56934,14943,YFL034C-B,YALI0A17336g,0.799,0.94,0.721
Lst|G1IA6-21801-MONOMER,Lipst1_1_73373,11186,YGR188C,YALI0B23166g,0.855,1.049,0.806
Lst|G1IA6-17118-MONOMER,Lipst1_1_67749,15928,YOL122C,YALI0D26818g,0.843,1.801,1.588
Lst|G1IA6-21881-MONOMER,Lipst1_1_106448,15197,YMR028W,YALI0A09790g,0.327,0.359,0.453
Lst|G1IA6-18375-MONOMER,Lipst1_1_61933,,,YALI0F09053g,,,0.282
Lst|G1IA6-20332-MONOMER,Lipst1_1_71475,,YDR051C,YALI0F11781g,,0.576,0.931
Lst|G1IA6-20628-MONOMER,Lipst1_1_3860,16196,YOL058W,,1.944,1.801,
Lst|G1IA6-22960-MONOMER,Lipst1_1_74886,14377,YNL256W,YALI0A02541g,1.371,1.067,1.409
Lst|G1IA6-20348-MONOMER,Lipst1_1_71559,13337,YDL019C,YALI0F16940g,1.944,1.801,1.557
Lst|G1IA6-21288-MONOMER,Lipst1_1_55230,14728,YDL217C,YALI0F29931g,0.334,0.523,0.518
Lst|G1IA6-22859-MONOMER,Lipst1_1_65493,16147,YPL031C,YALI0D25190g,1.471,1.472,1.588
Lst|G1IA6-22470-MONOMER,Lipst1_1_5647,13037,,YALI0B06534g,0.213,,0.326
Lst|G1IA6-18961-MONOMER,Lipst1_1_45671,,,YALI0C10736g,,,0.228
Lst|G1IA6-19697-MONOMER,Lipst1_1_70449,11966,,,0.156,,
Lst|G1IA6-19943-MONOMER,Lipst1_1_278812,12395,,YALI0F25421g,0.294,,0.283
Lst|G1IA6-23739-MONOMER,Lipst1_1_6746,16850,YGR194C,YALI0F10923g,0.397,1.526,1.135
Lst|G1IA6-18893-MONOMER,Lipst1_1_2582,11041,YER171W,YALI0F20746g,1.944,1.801,1.588
Lst|G1IA6-16895-MONOMER,Lipst1_1_626,10259,YMR139W,YALI0D20966g,1.944,1.317,1.588
Lst|G1IA6-16585-MONOMER,Lipst1_1_140476,10422,YLR271W,,0.205,0.118,
Lst|G1IA6-19265-MONOMER,Lipst1_1_104169,12034,YDR074W,YALI0D14476g,1.944,1.801,1.588
Lst|G1IA6-18436-MONOMER,Lipst1_1_68996,14121,YNL287W,YALI0F03454g,1.944,1.801,1.588
Lst|G1IA6-20289-MONOMER,Lipst1_1_71296,11475,YPL015C,,0.92,0.906,
Lst|G1IA6-16888-MONOMER,Lipst1_1_60789,,,YALI0C11858g,,,0.381
Lst|G1IA6-16695-MONOMER,Lipst1_1_32651,,YNL294C,YALI0F12397g,,0.074,0.4
Lst|G1IA6-18633-MONOMER,Lipst1_1_103915,14186,YCL054W,YALI0D09251g,1.944,1.801,1.588
Lst|G1IA6-20152-MONOMER,Lipst1_1_3550,16584,YKR002W,YALI0F28039g,1.944,1.801,1.588
Lst|G1IA6-17790-MONOMER,Lipst1_1_68553,11194,,,0.283,,
Lst|G1IA6-18854-MONOMER,Lipst1_1_253586,9746,YKR089C,YALI0F10010g,0.697,1.418,1.45
